daynight_N,lat,lon,fire_weather_index,pressure_mean,wind_direction_mean,wind_direction_std,solar_radiation_mean,dewpoint_mean,cloud_cover_mean,evapotranspiration_total,humidity_min,temp_mean,temp_range,wind_speed_max,frp
1.0,-19.65213,46.60844,13.61121624228395,879.9833333333332,193.66666666666663,107.69272130567704,322.9583333333333,9.245833333333334,83.54166666666667,6.94,17.0,23.97083333333333,18.000000000000004,20.0,0.36
1.0,8.85598,-10.35193,7.797215909090909,922.2958333333332,71.375,80.04364044069959,236.16666666666663,4.058333333333334,0.3333333333333333,5.140000000000001,21.0,20.98333333333333,13.1,12.3,3.55
1.0,23.66174,97.28032,7.697514204545455,930.8875,167.20833333333334,94.56610525917247,277.125,9.8375,0.125,5.83,21.0,24.8125,16.5,12.0,1.07
0.0,-12.14263,20.89287,21.915384615384617,897.2791666666666,155.08333333333334,6.204277198478123,242.25,-8.420833333333334,0.0,6.21,12.0,16.1875,11.500000000000002,21.1,20.27
0.0,-17.7046,45.2787,3.544828869047619,976.8666666666668,171.08333333333334,76.60228274811543,203.29166666666663,12.1375,39.458333333333336,3.89,34.0,23.354166666666668,11.7,9.8,8.06
0.0,-18.03525,35.44711,21.58198390151515,999.7375,97.04166666666669,15.704243499414064,265.4166666666667,15.879166666666665,33.958333333333336,7.359999999999999,21.0,29.354166666666668,13.700000000000005,24.6,57.02
0.0,-24.89063,45.69588,13.508359788359789,990.1416666666668,78.04166666666667,51.090996570389535,250.5833333333333,12.875,37.583333333333336,5.5,20.0,25.633333333333336,14.2,17.3,3.16
0.0,-5.34487,26.17033,19.4505701754386,944.2083333333334,136.54166666666666,13.671683530405302,228.5,7.191666666666667,6.75,7.0,18.0,27.579166666666666,12.400000000000002,18.6,15.67
1.0,55.62039,-107.91969,5.378421717171717,956.1958333333332,235.5833333333333,89.06407649676845,303.4166666666667,6.5125,54.54166666666666,5.23,21.0,19.504166666666663,14.5,13.2,2.64
0.0,-12.39016,25.33022,30.242193813131312,878.6458333333334,96.95833333333331,14.23457986344834,265.7916666666667,0.0999999999999999,32.708333333333336,7.44,10.0,25.241666666666664,16.0,16.3,22.21
0.0,7.88541,37.56634,7.590906249999999,805.4416666666666,188.4583333333333,88.07334971803647,309.1666666666667,-2.458333333333333,16.375,5.8500000000000005,14.0,20.2875,14.6,9.2,7.37
0.0,3.98069,29.5997,10.550260416666664,925.4916666666668,69.95833333333333,65.36211897744919,224.4583333333333,9.445833333333333,23.625,5.530000000000001,19.0,26.58333333333333,14.9,13.7,7.33
0.0,24.6833,80.68842,16.017494658119663,969.2916666666666,173.95833333333334,114.3231819473004,302.875,9.441666666666666,0.0,7.109999999999999,12.0,30.416666666666668,14.1,15.9,13.18
0.0,4.44483,31.21202,7.893233333333333,927.5833333333334,197.41666666666663,137.01791752257157,250.0,13.554166666666664,70.04166666666667,5.61,24.0,28.325,13.300000000000004,8.9,4.06
0.0,18.50433,103.92599,10.344806763285025,984.1875,155.04166666666666,62.304680914750605,240.8333333333333,16.770833333333332,4.958333333333333,6.03,22.0,30.83333333333333,15.099999999999998,16.0,27.48
0.0,7.36106,0.40264,10.238744936342592,994.1749999999998,139.5,109.9037457657078,255.75,12.875,49.208333333333336,5.94,23.0,27.77916666666667,10.1,18.2,9.9
0.0,-9.94096,18.32673,13.624252314814813,911.1041666666666,156.29166666666666,58.166054796208726,239.125,3.858333333333333,48.208333333333336,5.77,14.0,25.204166666666666,18.1,12.9,11.14
0.0,-22.68033,150.52962,6.448538032945738,1015.0750000000002,138.95833333333334,11.23787927304594,202.0,14.358333333333333,53.458333333333336,3.4400000000000004,42.0,19.3625,7.100000000000001,19.7,4.03
0.0,10.62572,19.08768,12.9014274691358,963.4333333333334,212.9583333333333,16.35664790094705,253.04166666666663,17.066666666666666,73.33333333333333,6.34,26.0,29.64583333333333,12.300000000000004,16.0,5.5
0.0,38.33975,-1.68928,1.5915010683760686,991.45,283.5416666666667,95.07452303617175,125.33333333333331,4.525,31.291666666666668,1.57,38.0,10.841666666666669,10.499999999999998,10.7,6.88
1.0,-28.08848,23.50821,30.97433035714285,840.8125,263.9583333333333,22.875531262804707,286.9166666666667,-13.920833333333333,0.0,6.66,6.0,17.520833333333332,16.2,20.1,1.66
